Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
perkBotLicenseEnchantReloadAmmoRank02Desc,progression,Perk,,,Bullet reload speed +100%,,,,,,弾丸のリロード速度+ 100％,,,,,,装填速度+100%,裝填速度+100%,
perkBotLicenseEnchantReloadAmmoRank03Desc,progression,Perk,,,Bullet reload speed +200%,,,,,,弾丸のリロード速度+ 200％,,,,,,装填速度+200%,裝填速度+200%,
perkBotLicenseEnchantReloadAmmoRank01LongDesc,progression,Perk,,,Speed up the loading speed of the bullet,,,,,,弾丸の装填速度をスピードアップ,,,,,,加速子弹上膛的速度,加速子彈上膛的速度,
perkBotLicenseEnchantShootingSpeedRank01Desc,progression,Perk,,,Fire speed +40%,,,,,,発射速度+ 40％,,,,,,射击速度+40%,射擊速度+40%,
perkBotLicenseEnchantShootingSpeedRank02Desc,progression,Perk,,,Fire speed +70%,,,,,,発射速度+ 70％,,,,,,射击速度+70%,射擊速度+70%,
perkBotLicenseEnchantShootingSpeedRank03Desc,progression,Perk,,,Fire speed +100%,,,,,,発射速度+ 100％,,,,,,射击速度+100%,射擊速度+100%,
perkBotLicenseEnchantShootingSpeedRank01LongDesc,progression,Perk,,,Accelerate the rate of continuous fire,,,,,,継続的な発砲の速度を加速する,,,,,,加速连续射击的速度,加速連續射擊的速度,
perkBotLicenseEnchantEntityDamageRank01Desc,progression,Perk,,,"Automatic gun physical damage +100%, automatic hammer physical damage +150%",,,,,,自動ガン物理ダメージ+ 100％、自動ハンマー物理ダメージ+ 150％,,,,,,自动砲实体伤害+100%，自动鎚实体伤害+150%,自動砲實體傷害+100%，自動鎚實體傷害+150%,
perkBotLicenseEnchantEntityDamageRank02Desc,progression,Perk,,,"Automatic gun physical damage +300%, automatic hammer physical damage +350%",,,,,,自動ガン物理ダメージ+ 300％、自動ハンマー物理ダメージ+ 350％,,,,,,自动砲实体伤害+300%，自动鎚实体伤害+350%,自動砲實體傷害+300%，自動鎚實體傷害+350%,
perkBotLicenseEnchantEntityDamageRank03Desc,progression,Perk,,,"Automatic gun physical damage +500%, automatic hammer physical damage +550%",,,,,,自動ガン物理ダメージ+ 500％、自動ハンマー物理ダメージ+ 550％,,,,,,自动砲实体伤害+500%，自动鎚实体伤害+550%,自動砲實體傷害+500%，自動鎚實體傷害+550%,
perkBotLicenseEnchantEntityDamageRank01LongDesc,progression,Perk,,,Increase the amount of damage to the entity,,,,,,エンティティへのダメージの量を増やす,,,,,,增加对实体的伤害量,增加對實體的傷害量,

perkRepairToolLicenseName,progression,Perk,,,Repair tool license,,,,,,修復ツールのライセンス,,,,,,修理工具证照,修理工具證照,
perkRepairToolLicenseDesc,progression,Perk,,,"Proficiency certificate repair tool\nStone Axe, Claw Hammer, Universal wrench",,,,,,"修復ツールの習熟度証明書\nStone Axe, Claw Hammer, Universal wrench",,,,,,"精通修理工具的认定证书\nStone Axe, Claw Hammer, Universal wrench","精通修理工具的認定證書\nStone Axe, Claw Hammer, Universal wrench",
perkRepairToolLicenseRank1Desc,progression,Perk,,,"Physical Attack +1%, Block Attack +1%",,,,,,物理攻撃力 +1％、ブロック攻撃力 +1％,,,,,,增加实体攻击力1%，增加方块攻击力1%,增加實體攻擊力1%，增加方塊攻擊力1%,
perkRepairToolLicenseRank1LongDesc,progression,Perk,,,After obtaining the basis of a certificate given bonus.,,,,,,証明書取得後に付与される基本ボーナス。,,,,,,取得证书后所给予的基础加成。,取得證書後所給予的基礎加成。,
perkRepairToolLicenseEnchantAttackSpeedName,progression,Perk,,,Repair tool: speed enhancement,,,,,,修復ツール：速度の向上,,,,,,修理工具：速度强化,修理工具：速度強化,
perkRepairToolLicenseEnchantAttackSpeedDesc,progression,Perk,,,Strengthen the working speed of repair tools,,,,,,修理工具の作業速度を強化する,,,,,,强化修理工具类的作业速度,強化修理工具類的作業速度,
perkRepairToolLicenseEnchantStaminaName,progression,Perk,,,Repair tools: stamina enhancement,,,,,,修復ツール：スタミナ強化,,,,,,修理工具：耐力强化,修理工具：耐力強化,
perkRepairToolLicenseEnchantStaminaDesc,progression,Perk,,,Reduce endurance consumption of repair tools,,,,,,修理ツールの耐久消費を削減します,,,,,,降低修理工具类的耐力消耗,降低修理工具類的耐力消耗,
perkRepairToolLicenseEnchantBlockDamageName,progression,Perk,,,Repair tool: block damage enhancement,,,,,,修復ツール：ブロックダメージの強化,,,,,,修理工具：方块伤害强化,修理工具：方塊傷害強化,
perkRepairToolLicenseEnchantBlockDamageDesc,progression,Perk,,,Strengthen the block damage ability of repair tools,,,,,,修理工具のブロックダメージ能力を強化する,,,,,,强化修理工具类的方块伤害能力,強化修理工具類的方塊傷害能力,
perkRepairToolLicenseEnchantAttackSpeedRank01Desc,progression,Perk,,,Attack speed +50%,,,,,,攻撃速度+ 50％,,,,,,攻击速度+50%,攻擊速度+50%,
perkRepairToolLicenseEnchantAttackSpeedRank02Desc,progression,Perk,,,Attack speed +100%,,,,,,攻撃速度+ 100％,,,,,,攻击速度+100%,攻擊速度+100%,
perkRepairToolLicenseEnchantAttackSpeedRank03Desc,progression,Perk,,,Attack speed +200%,,,,,,攻撃速度+ 200％,,,,,,攻击速度+200%,攻擊速度+200%,
perkRepairToolLicenseEnchantAttackSpeedRank01LongDesc,progression,Perk,,,Increase attack speed (repair speed is not supported),,,,,,攻撃速度を上げる（修復速度はサポートされていません）,,,,,,增加攻击速度(不支援修復速度),增加攻擊速度(不支援修復速度),
perkRepairToolLicenseEnchantStaminaRank01Desc,progression,Perk,,,Stamina cost -20%,,,,,,スタミナ消費量-20％,,,,,,耐力消耗-20%,耐力消耗-20%,
perkRepairToolLicenseEnchantStaminaRank02Desc,progression,Perk,,,Stamina cost -35%,,,,,,スタミナ消費量-35％,,,,,,耐力消耗-35%,耐力消耗-35%,
perkRepairToolLicenseEnchantStaminaRank03Desc,progression,Perk,,,Stamina cost -50%,,,,,,スタミナ消費量-50％,,,,,,耐力消耗-50%,耐力消耗-50%,
perkRepairToolLicenseEnchantStaminaRank01LongDesc,progression,Perk,,,Reduce the physical exertion of using tools,,,,,,ツールを使用することによる肉体的労力を減らす,,,,,,降低使用工具的体力消耗,降低使用工具的體力消耗,
perkRepairToolLicenseEnchantBlockDamageRank01Desc,progression,Perk,,,Block damage +100%,,,,,,ブロックダメージ+ 100％,,,,,,方块伤害+100%,方塊傷害+100%,
perkRepairToolLicenseEnchantBlockDamageRank02Desc,progression,Perk,,,Block damage +200%,,,,,,ブロックダメージ+ 200％,,,,,,方块伤害+200%,方塊傷害+200%,
perkRepairToolLicenseEnchantBlockDamageRank03Desc,progression,Perk,,,Block damage +300%,,,,,,ブロックダメージ+ 300％,,,,,,方块伤害+300%,方塊傷害+300%,
perkRepairToolLicenseEnchantBlockDamageRank01LongDesc,progression,Perk,,,Increase the amount of damage to blocks,,,,,,ブロックへのダメージ量を増やす,,,,,,增加对方块的伤害量,增加對方塊的傷害量,

perkCollectionToolLicenseName,progression,Perk,,,Collection tool license,,,,,,収集ツールのライセンス,,,,,,採集工具证照,採集工具證照,
perkCollectionToolLicenseDesc,progression,Perk,,,"Proficiency certificate collection tool\nIron Fireaxe, Steel Axe, Iron Pickaxe, Steel Pickaxe, Stone Shovel, Iron Shovel, Steel Shovel, Chainsaw, Auger, Wrench, Ratchet, Impact Driver, Universal wrench",,,,,,"収集ツールの習熟度証明書\nIron Fireaxe, Steel Axe, Iron Pickaxe, Steel Pickaxe, Stone Shovel, Iron Shovel, Steel Shovel, Chainsaw, Auger, Wrench, Ratchet, Impact Driver, Universal wrench",,,,,,"精通採集工具的认定证书\nIron Fireaxe, Steel Axe, Iron Pickaxe, Steel Pickaxe, Stone Shovel, Iron Shovel, Steel Shovel, Chainsaw, Auger, Wrench, Ratchet, Impact Driver, Universal wrench","精通採集工具的認定證書\nIron Fireaxe, Steel Axe, Iron Pickaxe, Steel Pickaxe, Stone Shovel, Iron Shovel, Steel Shovel, Chainsaw, Auger, Wrench, Ratchet, Impact Driver, Universal wrench",
perkCollectionToolLicenseRank1Desc,progression,Perk,,,"Physical Attack +1%, Block Attack +1%",,,,,,物理攻撃力 +1％、ブロック攻撃力 +1％,,,,,,增加实体攻击力1%，增加方块攻击力1%,增加實體攻擊力1%，增加方塊攻擊力1%,
perkCollectionToolLicenseRank1LongDesc,progression,Perk,,,After obtaining the basis of a certificate given bonus.,,,,,,証明書取得後に付与される基本ボーナス。,,,,,,取得证书后所给予的基础加成。,取得證書後所給予的基礎加成。,
perkCollectionToolLicenseEnchantAttackSpeedName,progression,Perk,,,Collection tool: speed enhancement,,,,,,収集ツール：速度の向上,,,,,,採集工具：速度强化,採集工具：速度強化,
perkCollectionToolLicenseEnchantAttackSpeedDesc,progression,Perk,,,Strengthen the working speed of collection tool,,,,,,収集ツールの作業速度を強化する,,,,,,强化採集工具类的作业速度,強化採集工具類的作業速度,
perkCollectionToolLicenseEnchantStaminaName,progression,Perk,,,Collection tool: stamina enhancement,,,,,,収集ツール：スタミナ強化,,,,,,採集工具：耐力强化,採集工具：耐力強化,
perkCollectionToolLicenseEnchantStaminaDesc,progression,Perk,,,Reduce endurance consumption of collection tool,,,,,,収集ツールの耐久消費を削減します,,,,,,降低採集工具类的耐力消耗,降低採集工具類的耐力消耗,
perkCollectionToolLicenseEnchantHarvestCountName,progression,Perk,,,Collection tool: enhanced harvest count,,,,,,収集ツール：収穫を増やす,,,,,,採集工具：获取量强化,採集工具：獲取量強化,
perkCollectionToolLicenseEnchantHarvestCountDesc,progression,Perk,,,Strengthen the number of harvesting tools,,,,,,収穫ツールの収穫能力を強化する,,,,,,强化採集工具类的採收数量,強化採集工具類的採收數量,
perkCollectionToolLicenseEnchantBlockDamageName,progression,Perk,,,Collection tool: block damage enhancement,,,,,,収集ツール：ブロックダメージの強化,,,,,,採集工具：方块伤害强化,採集工具：方塊傷害強化,
perkCollectionToolLicenseEnchantBlockDamageDesc,progression,Perk,,,Strengthen the block damage ability of collection tool,,,,,,収集ツールのブロックダメージ能力を強化する,,,,,,强化採集工具类的方块伤害能力,強化採集工具類的方塊傷害能力,
perkCollectionToolLicenseEnchantAttackSpeedRank01Desc,progression,Perk,,,"Attack speed +50%\nFire speed +30% (limited to auger, chain saw)",,,,,,攻撃速度+ 50％\n発射速度+ 30％（オーガ、チェーンソーに限定）,,,,,,攻击速度+50%\n射击速度+30%(限定电鑽、电锯),攻擊速度+50%\n射擊速度+30%(限定電鑽、電鋸),
perkCollectionToolLicenseEnchantAttackSpeedRank02Desc,progression,Perk,,,"Attack speed +100%\nFire speed +60% (limited to auger, chain saw)",,,,,,攻撃速度+ 100％\n発射速度+ 60％（オーガ、チェーンソーに限定）,,,,,,攻击速度+100%\n射击速度+60%(限定电鑽、电锯),攻擊速度+100%\n射擊速度+60%(限定電鑽、電鋸),
perkCollectionToolLicenseEnchantAttackSpeedRank03Desc,progression,Perk,,,"Attack speed +200%\nFire speed +100% (limited to auger, chain saw)",,,,,,攻撃速度+ 200％\n発射速度+ 100％（オーガ、チェーンソーに限定）,,,,,,攻击速度+200%\n射击速度+100%(限定电鑽、电锯),攻擊速度+200%\n射擊速度+100%(限定電鑽、電鋸),
perkCollectionToolLicenseEnchantAttackSpeedRank01LongDesc,progression,Perk,,,Increase attack speed and shooting speed,,,,,,攻撃速度と射撃速度を上げる,,,,,,增加攻击速度、射击速度,增加攻擊速度、射擊速度,
perkCollectionToolLicenseEnchantStaminaRank01Desc,progression,Perk,,,Stamina cost -20%,,,,,,スタミナ消費量-20％,,,,,,耐力消耗-20%,耐力消耗-20%,
perkCollectionToolLicenseEnchantStaminaRank02Desc,progression,Perk,,,Stamina cost -35%,,,,,,スタミナ消費量-35％,,,,,,耐力消耗-35%,耐力消耗-35%,
perkCollectionToolLicenseEnchantStaminaRank03Desc,progression,Perk,,,Stamina cost -50%,,,,,,スタミナ消費量-50％,,,,,,耐力消耗-50%,耐力消耗-50%,
perkCollectionToolLicenseEnchantStaminaRank01LongDesc,progression,Perk,,,Reduce the physical exertion of using tools,,,,,,ツールを使用することによる肉体的労力を減らす,,,,,,降低使用工具的体力消耗,降低使用工具的體力消耗,
perkCollectionToolLicenseEnchantHarvestCountRank01Desc,progression,Perk,,,"Ore, tree collection +100%\nThe number of disassembled parts +100%",,,,,,鉱石、樹木収集+ 100％\n解体部品の取得+ 100％,,,,,,矿石、树木採集量+100%\n拆卸零件获取量+100%,礦石、樹木採集量+100%\n拆卸零件獲取量+100%,
perkCollectionToolLicenseEnchantHarvestCountRank02Desc,progression,Perk,,,"Ore, tree collection +200%\nThe number of disassembled parts +200%",,,,,,鉱石、樹木収集+ 200％\n解体部品の取得+ 200％,,,,,,矿石、树木採集量+200%\n拆卸零件获取量+200%,礦石、樹木採集量+200%\n拆卸零件獲取量+200%,
perkCollectionToolLicenseEnchantHarvestCountRank03Desc,progression,Perk,,,"Ore, tree collection +300%\nThe number of disassembled parts +300%",,,,,,鉱石、樹木収集+ 300％\n解体部品の取得+ 300％,,,,,,矿石、树木採集量+300%\n拆卸零件获取量+300%,礦石、樹木採集量+300%\n拆卸零件獲取量+300%,
perkCollectionToolLicenseEnchantHarvestCountRank01LongDesc,progression,Perk,,,Increase the amount of material collected,,,,,,収集する資料の量を増やす,,,,,,增加素材的採集量,增加素材的採集量,
perkCollectionToolLicenseEnchantBlockDamageRank01Desc,progression,Perk,,,Block damage +100%,,,,,,ブロックダメージ+ 100％,,,,,,方块伤害+100%,方塊傷害+100%,
perkCollectionToolLicenseEnchantBlockDamageRank02Desc,progression,Perk,,,Block damage +200%,,,,,,ブロックダメージ+ 200％,,,,,,方块伤害+200%,方塊傷害+200%,
perkCollectionToolLicenseEnchantBlockDamageRank03Desc,progression,Perk,,,Block damage +300%,,,,,,ブロックダメージ+ 300％,,,,,,方块伤害+300%,方塊傷害+300%,
perkCollectionToolLicenseEnchantBlockDamageRank01LongDesc,progression,Perk,,,Increase the amount of damage to blocks,,,,,,ブロックへのダメージ量を増やす,,,,,,增加对方块的伤害量,增加對方塊的傷害量,

perkKnifeLicenseName,progression,Perk,,,Knife license,,,,,,ナイフのライセンス,,,,,,刀具证照,刀具證照,
perkKnifeLicenseDesc,progression,Perk,,,"Proficiency certificate knife\nBone Knife, Hunting Knife, Candy Cane Knife, Machete",,,,,,"ナイフの習熟度証明書\nBone Knife, Hunting Knife, Candy Cane Knife, Machete",,,,,,"精通刀具的认定证书\nBone Knife, Hunting Knife, Candy Cane Knife, Machete","精通刀具的認定證書\nBone Knife, Hunting Knife, Candy Cane Knife, Machete",
perkKnifeLicenseRank1Desc,progression,Perk,,,"Physical Attack +1%, Block Attack +1%",,,,,,物理攻撃力 +1％、ブロック攻撃力 +1％,,,,,,增加实体攻击力1%，增加方块攻击力1%,增加實體攻擊力1%，增加方塊攻擊力1%,
perkKnifeLicenseRank1LongDesc,progression,Perk,,,After obtaining the basis of a certificate given bonus.,,,,,,証明書取得後に付与される基本ボーナス。,,,,,,取得证书后所给予的基础加成。,取得證書後所給予的基礎加成。,
perkKnifeLicenseEnchantAttackSpeedName,progression,Perk,,,Knife: speed enhancement,,,,,,ナイフ：速度の向上,,,,,,刀具：速度强化,刀具：速度強化,
perkKnifeLicenseEnchantAttackSpeedDesc,progression,Perk,,,Strengthen the attack speed of knives,,,,,,ナイフの攻撃速度を強化する,,,,,,强化刀具类的攻击速度,強化刀具類的攻擊速度,
perkKnifeLicenseEnchantStaminaName,progression,Perk,,,Knife: stamina enhancement,,,,,,ナイフ：スタミナ強化,,,,,,刀具：耐力强化,刀具：耐力強化,
perkKnifeLicenseEnchantStaminaDesc,progression,Perk,,,Reduce endurance consumption of knife,,,,,,ナイフの耐久消費を削減します,,,,,,降低刀具类的耐力消耗,降低刀具類的耐力消耗,
perkKnifeLicenseEnchantHarvestCountName,progression,Perk,,,Knife: enhanced harvest count,,,,,,ナイフ：収穫を増やす,,,,,,刀具：获取量强化,刀具：獲取量強化,
perkKnifeLicenseEnchantHarvestCountDesc,progression,Perk,,,Strengthen the harvest count of knife,,,,,,ナイフの収穫能力を強化する,,,,,,强化刀具类的採收数量,強化刀具類的採收數量,
perkKnifeLicenseEnchantDismemberChanceName,progression,Perk,,,Knife: enhanced dismemberment rate,,,,,,ナイフ：解体率の向上,,,,,,刀具：肢解率强化,刀具：肢解率強化,
perkKnifeLicenseEnchantDismemberChanceDesc,progression,Perk,,,Strengthen the dismemberment rate of knives,,,,,,ナイフの解体率を強化する,,,,,,强化刀具类的肢解率,強化刀具類的肢解率,
perkKnifeLicenseEnchantEntityDamageName,progression,Perk,,,Knife: Physical damage enhancement,,,,,,ナイフ：物理的ダメージの強化,,,,,,刀具：实体伤害强化,刀具：實體傷害強化,
perkKnifeLicenseEnchantEntityDamageDesc,progression,Perk,,,Strengthen the physical damage of knife,,,,,,ナイフの強化された物理的ダメージ,,,,,,强化刀具类的实体伤害量,強化刀具類的實體傷害量,
perkKnifeLicenseEnchantAttackSpeedRank01Desc,progression,Perk,,,Attack speed +50%,,,,,,攻撃速度+ 50％,,,,,,攻击速度+50%,攻擊速度+50%,
perkKnifeLicenseEnchantAttackSpeedRank02Desc,progression,Perk,,,Attack speed +100%,,,,,,攻撃速度+ 100％,,,,,,攻击速度+100%,攻擊速度+100%,
perkKnifeLicenseEnchantAttackSpeedRank03Desc,progression,Perk,,,Attack speed +200%,,,,,,攻撃速度+ 200％,,,,,,攻击速度+200%,攻擊速度+200%,
perkKnifeLicenseEnchantAttackSpeedRank01LongDesc,progression,Perk,,,Increase attack speed,,,,,,攻撃速度を上げる,,,,,,增加攻击速度,增加攻擊速度,
perkKnifeLicenseEnchantStaminaRank01Desc,progression,Perk,,,Stamina cost -20%,,,,,,スタミナ消費量-20％,,,,,,耐力消耗-20%,耐力消耗-20%,
perkKnifeLicenseEnchantStaminaRank02Desc,progression,Perk,,,Stamina cost -35%,,,,,,スタミナ消費量-35％,,,,,,耐力消耗-35%,耐力消耗-35%,
perkKnifeLicenseEnchantStaminaRank03Desc,progression,Perk,,,Stamina cost -50%,,,,,,スタミナ消費量-50％,,,,,,耐力消耗-50%,耐力消耗-50%,
perkKnifeLicenseEnchantStaminaRank01LongDesc,progression,Perk,,,Reduce the physical exertion of using tools,,,,,,ツールを使用することによる肉体的労力を減らす,,,,,,降低使用工具的体力消耗,降低使用工具的體力消耗,
perkKnifeLicenseEnchantHarvestCountRank01Desc,progression,Perk,,,The amount of corpse harvest material +100%,,,,,,死体収穫物の量+ 100％,,,,,,尸体收割素材量+100%,屍體收割素材量+100%,
perkKnifeLicenseEnchantHarvestCountRank02Desc,progression,Perk,,,The amount of corpse harvest material +200%,,,,,,死体収穫物の量+ 200％,,,,,,尸体收割素材量+200%,屍體收割素材量+200%,
perkKnifeLicenseEnchantHarvestCountRank03Desc,progression,Perk,,,The amount of corpse harvest material +300%,,,,,,死体収穫物の量+ 300％,,,,,,尸体收割素材量+300%,屍體收割素材量+300%,
perkKnifeLicenseEnchantHarvestCountRank01LongDesc,progression,Perk,,,Increase the amount of material collected,,,,,,収集する資料の量を増やす,,,,,,增加素材的採集量,增加素材的採集量,
perkKnifeLicenseEnchantDismemberChanceRank01Desc,progression,Perk,,,Dismemberment rate +20%,,,,,,解体率+ 20％,,,,,,肢解率+20%,肢解率+20%,
perkKnifeLicenseEnchantDismemberChanceRank02Desc,progression,Perk,,,Dismemberment rate +50%,,,,,,解体率+ 50％,,,,,,肢解率+50%,肢解率+50%,
perkKnifeLicenseEnchantDismemberChanceRank03Desc,progression,Perk,,,Dismemberment rate +80%,,,,,,解体率+ 80％,,,,,,肢解率+80%,肢解率+80%,
perkKnifeLicenseEnchantDismemberChanceRank01LongDesc,progression,Perk,,,Increase the chance of dismembering the target when attacking,,,,,,攻撃時にターゲットを解体する可能性を高める,,,,,,提高攻击时，肢解目标的机率,提高攻擊時，肢解目標的機率,
perkKnifeLicenseEnchantEntityDamageRank01Desc,progression,Perk,,,Physical damage +100%,,,,,,物理的ダメージ+ 100％,,,,,,实体伤害+100%,實體傷害+100%,
perkKnifeLicenseEnchantEntityDamageRank02Desc,progression,Perk,,,Physical damage +300%,,,,,,物理的ダメージ+ 300％,,,,,,实体伤害+300%,實體傷害+300%,
perkKnifeLicenseEnchantEntityDamageRank03Desc,progression,Perk,,,Physical damage +500%,,,,,,物理的ダメージ+ 500％,,,,,,实体伤害+500%,實體傷害+500%,
perkKnifeLicenseEnchantEntityDamageRank01LongDesc,progression,Perk,,,Increase the amount of damage to the entity,,,,,,エンティティへのダメージの量を増やす,,,,,,增加对实体的伤害量,增加對實體的傷害量,

perkClubLicenseName,progression,Perk,,,Club license,,,,,,棍棒のライセンス,,,,,,棒证照,棒證照,
perkClubLicenseDesc,progression,Perk,,,"Proficiency certificate club\nWooden Club, Baseball Bat, Candy Cane Club, Steel Club, Stun Baton, Torch",,,,,,"棍棒の習熟度証明書\nWooden Club, Baseball Bat, Candy Cane Club, Steel Club, Stun Baton, Torch",,,,,,"精通棒的认定证书\nWooden Club, Baseball Bat, Candy Cane Club, Steel Club, Stun Baton, Torch","精通棒的認定證書\nWooden Club, Baseball Bat, Candy Cane Club, Steel Club, Stun Baton, Torch",
perkClubLicenseRank1Desc,progression,Perk,,,"Physical Attack +1%, Block Attack +1%",,,,,,物理攻撃力 +1％、ブロック攻撃力 +1％,,,,,,增加实体攻击力1%，增加方块攻击力1%,增加實體攻擊力1%，增加方塊攻擊力1%,
perkClubLicenseRank1LongDesc,progression,Perk,,,After obtaining the basis of a certificate given bonus.,,,,,,証明書取得後に付与される基本ボーナス。,,,,,,取得证书后所给予的基础加成。,取得證書後所給予的基礎加成。,
perkClubLicenseEnchantAttackSpeedName,progression,Perk,,,Club: speed enhancement,,,,,,棍棒：速度の向上,,,,,,棒：速度强化,棒：速度強化,
perkClubLicenseEnchantAttackSpeedDesc,progression,Perk,,,Strengthen the attack speed of club,,,,,,棍棒の攻撃速度を強化する,,,,,,强化棒类的攻击速度,強化棒類的攻擊速度,
perkClubLicenseEnchantStaminaName,progression,Perk,,,Club: stamina enhancement,,,,,,棍棒：スタミナ強化,,,,,,棒：耐力强化,棒：耐力強化,
perkClubLicenseEnchantStaminaDesc,progression,Perk,,,Reduce endurance consumption of club,,,,,,棍棒の耐久消費を削減します,,,,,,降低棒类的耐力消耗,降低棒類的耐力消耗,
perkClubLicenseEnchantCriticalChanceName,progression,Perk,,,Club: Increased critical strike rate,,,,,,棍棒：増加クリティカル率,,,,,,棒：暴击率强化,棒：暴擊率強化,
perkClubLicenseEnchantCriticalChanceDesc,progression,Perk,,,Strengthen the crit rate of clubs,,,,,,棍棒のクリティカル率を強化する,,,,,,强化棒类的暴击率,強化棒類的暴擊率,
perkClubLicenseEnchantEntityDamageName,progression,Perk,,,Club: Physical damage enhancement,,,,,,棍棒：物理的ダメージの強化,,,,,,棒：实体伤害强化,棒：實體傷害強化,
perkClubLicenseEnchantEntityDamageDesc,progression,Perk,,,Strengthen the physical damage of club,,,,,,棍棒の強化された物理的ダメージ,,,,,,强化棒类的实体伤害量,強化棒類的實體傷害量,
perkClubLicenseEnchantAttackSpeedRank01Desc,progression,Perk,,,Attack speed +50%,,,,,,攻撃速度+ 50％,,,,,,攻击速度+50%,攻擊速度+50%,
perkClubLicenseEnchantAttackSpeedRank02Desc,progression,Perk,,,Attack speed +100%,,,,,,攻撃速度+ 100％,,,,,,攻击速度+100%,攻擊速度+100%,
perkClubLicenseEnchantAttackSpeedRank03Desc,progression,Perk,,,Attack speed +200%,,,,,,攻撃速度+ 200％,,,,,,攻击速度+200%,攻擊速度+200%,
perkClubLicenseEnchantAttackSpeedRank01LongDesc,progression,Perk,,,Increase attack speed,,,,,,攻撃速度を上げる,,,,,,增加攻击速度,增加攻擊速度,
perkClubLicenseEnchantStaminaRank01Desc,progression,Perk,,,Stamina cost -20%,,,,,,スタミナ消費量-20％,,,,,,耐力消耗-20%,耐力消耗-20%,
perkClubLicenseEnchantStaminaRank02Desc,progression,Perk,,,Stamina cost -35%,,,,,,スタミナ消費量-35％,,,,,,耐力消耗-35%,耐力消耗-35%,
perkClubLicenseEnchantStaminaRank03Desc,progression,Perk,,,Stamina cost -50%,,,,,,スタミナ消費量-50％,,,,,,耐力消耗-50%,耐力消耗-50%,
perkClubLicenseEnchantStaminaRank01LongDesc,progression,Perk,,,Reduce the physical consumption of using weapons,,,,,,武器を使用することの物理的な消費を減らす,,,,,,降低使用武器的体力消耗,降低使用武器的體力消耗,
perkClubLicenseEnchantCriticalChanceRank01Desc,progression,Perk,,,Critical rate +20%,,,,,,クリティカル率+ 20％,,,,,,暴击率+20%,暴擊率+20%,
perkClubLicenseEnchantCriticalChanceRank02Desc,progression,Perk,,,Critical rate +50%,,,,,,クリティカル率+ 50％,,,,,,暴击率+50%,暴擊率+50%,
perkClubLicenseEnchantCriticalChanceRank03Desc,progression,Perk,,,Critical rate +80%,,,,,,クリティカル率+ 80％,,,,,,暴击率+80%,暴擊率+80%,
perkClubLicenseEnchantCriticalChanceRank01LongDesc,progression,Perk,,,Increase the chance of hitting the target severely,,,,,,ターゲットに激しく当たる可能性を高める,,,,,,增加攻击时，重创目标的机率,增加攻擊時，重創目標的機率,
perkClubLicenseEnchantEntityDamageRank01Desc,progression,Perk,,,Physical damage +100%,,,,,,物理的ダメージ+ 100％,,,,,,实体伤害+100%,實體傷害+100%,
perkClubLicenseEnchantEntityDamageRank02Desc,progression,Perk,,,Physical damage +300%,,,,,,物理的ダメージ+ 300％,,,,,,实体伤害+300%,實體傷害+300%,
perkClubLicenseEnchantEntityDamageRank03Desc,progression,Perk,,,Physical damage +500%,,,,,,物理的ダメージ+ 500％,,,,,,实体伤害+500%,實體傷害+500%,
perkClubLicenseEnchantEntityDamageRank01LongDesc,progression,Perk,,,Increase the amount of damage to the entity,,,,,,エンティティへのダメージの量を増やす,,,,,,增加对实体的伤害量,增加對實體的傷害量,

perkSpearLicenseName,progression,Perk,,,Spear license,,,,,,槍のライセンス,,,,,,矛证照,矛證照,
perkSpearLicenseDesc,progression,Perk,,,"Proficiency certificate spear\nStone Spear, Iron Spear, Steel Spear",,,,,,"槍の習熟度証明書\nStone Spear, Iron Spear, Steel Spear",,,,,,"精通矛的认定证书\nStone Spear, Iron Spear, Steel Spear","精通矛的認定證書\nStone Spear, Iron Spear, Steel Spear",
perkSpearLicenseRank1Desc,progression,Perk,,,"Physical Attack +1%, Block Attack +1%",,,,,,物理攻撃力 +1％、ブロック攻撃力 +1％,,,,,,增加实体攻击力1%，增加方块攻击力1%,增加實體攻擊力1%，增加方塊攻擊力1%,
perkSpearLicenseRank1LongDesc,progression,Perk,,,After obtaining the basis of a certificate given bonus.,,,,,,証明書取得後に付与される基本ボーナス。,,,,,,取得证书后所给予的基础加成。,取得證書後所給予的基礎加成。,
perkSpearLicenseEnchantAttackSpeedName,progression,Perk,,,Spear: speed enhancement,,,,,,槍：速度の向上,,,,,,矛：速度强化,矛：速度強化,
perkSpearLicenseEnchantAttackSpeedDesc,progression,Perk,,,Strengthen the attack speed of spear,,,,,,槍の攻撃速度を強化する,,,,,,强化矛类的攻击速度,強化矛類的攻擊速度,
perkSpearLicenseEnchantStaminaName,progression,Perk,,,Spear: stamina enhancement,,,,,,槍：スタミナ強化,,,,,,矛：耐力强化,矛：耐力強化,
perkSpearLicenseEnchantStaminaDesc,progression,Perk,,,Reduce endurance consumption of spear,,,,,,槍の耐久消費を削減します,,,,,,降低矛类的耐力消耗,降低矛類的耐力消耗,
perkSpearLicenseEnchantShockWaveName,progression,Perk,,,Spear: enhanced shock wave,,,,,,槍：強化された衝撃波,,,,,,矛：冲击波强化,矛：衝擊波強化,
